,DatasetID,Exp_Name,Triplicate,Exp1ImputeRMSEAcc,Exp2train_auroc,Exp2train_accuracy,Exp2train_balanced_accuracy,Exp2train_logloss,Exp2train_f1,Exp2ori_auroc,Exp2ori_accuracy,Exp2ori_balanced_accuracy,Exp2ori_logloss,Exp2ori_f1,Exp2impute_auroc,Exp2impute_accuracy,Exp2impute_balanced_accuracy,Exp2impute_logloss,Exp2impute_f1,Exp2ClassifierModel,Exp2duration,Exp2inference_duration,Exp3train_auroc,Exp3train_accuracy,Exp3train_balanced_accuracy,Exp3train_logloss,Exp3train_f1,Exp3ori_auroc,Exp3ori_accuracy,Exp3ori_balanced_accuracy,Exp3ori_logloss,Exp3ori_f1,Exp3impute_auroc,Exp3impute_accuracy,Exp3impute_balanced_accuracy,Exp3impute_logloss,Exp3impute_f1,Exp3ImputeModel,Exp3ClassifierModel,Exp3duration,Exp3inference_duration
0,home,class_full_,1/,0.19272889616938477,0.9694027589184915,0.907347670250896,0.8982242356136161,0.4269386540813184,0.8861662650593852,0.7802127836508976,0.7249283667621776,0.7124354216692135,0.5715716665840228,0.6855523879914123,0.7869045020322035,0.7521489971346705,0.6945094125840687,0.5365566017667183,0.6912483636066111,RandomForestClassifier,1690.8303155899048,0.10405278205871582,0.9671814276349674,0.9030465949820788,0.8971443788921665,0.3686113319591208,0.8818165713541876,0.780264758162597,0.7163323782234957,0.701551958919346,0.552956010845172,0.675725900116144,0.7882012660991049,0.745702005730659,0.6925837569256037,0.5060437859721576,0.6868948585125895,KNNImputer,ExtraTreesClassifier,3669.591290950775,0.08408069610595703
1,home,class_full_,2/,0.1901941262264012,0.9757648416080078,0.9204301075268817,0.9136378002528445,0.345279573583094,0.9020343321124399,0.7786899304581033,0.7120343839541547,0.6969418197316036,0.5527075656962638,0.6711930028498575,0.7915640170060602,0.7464183381088825,0.681432625440484,0.4979995304598668,0.68052441720647,ExtraTreesClassifier,1267.990315437317,0.07951951026916504,0.9770230486491549,0.9234767025089605,0.9159350564217821,0.3426563359690015,0.9055134072527757,0.7786431533975738,0.7120343839541547,0.701931372854752,0.5529981451288722,0.6734248284466625,0.7951294685086434,0.75,0.6897095664286235,0.4950837713223341,0.6873271633580222,KNNImputer,ExtraTreesClassifier,6268.257753372192,0.08229422569274902
2,home,class_full_,3/,0.18876474767214088,0.9659806113530301,0.896236559139785,0.9009926487802594,0.3341476679710236,0.8761965981865297,0.7800152805064396,0.7063037249283668,0.7179603122628663,0.5692070417303841,0.6764572875683987,0.7892875333936238,0.7371060171919771,0.7066480597914783,0.5155474140774987,0.6898324303740606,LGBMClassifier,1394.1358716487885,0.04173707962036133,0.9486793297019454,0.874731182795699,0.870036756098703,0.41073204386135453,0.8495988133313133,0.7807922994563465,0.6762177650429799,0.7056475504412636,0.5882277076719651,0.6528761582860777,0.7941809336701282,0.745702005730659,0.6967417178615607,0.5134729734156771,0.6892508171917198,SimpleImputer,RandomForestClassifier,7202.43670129776,0.09948563575744629
3,hosp,class_full_,1/,0.18298989137469895,0.9796738044281055,0.9308243727598566,0.9440666410681509,0.2942064574752047,0.9166957899558765,0.793798303091398,0.7492836676217765,0.7281165994623655,0.5338168555403298,0.7055512567405018,0.7982033350134409,0.7865329512893983,0.7235540574596775,0.4833285233720924,0.7250835307054644,RandomForestClassifier,1527.2901575565338,0.09409761428833008,0.9846146244134655,0.9399641577060932,0.9530763281747234,0.28627876615783987,0.9273778226952054,0.797140141969086,0.7564469914040115,0.729576192876344,0.5239135061454087,0.7105288836846213,0.8003428469422044,0.7951289398280802,0.7268460181451613,0.47961717945305676,0.7318867635642777,SimpleImputer,RandomForestClassifier,5646.538182735443,0.10297536849975586
4,hosp,class_full_,2/,0.1906936167489878,0.9880077137006835,0.9467741935483871,0.9397802577001162,0.2589315488042776,0.9330144480567315,0.7976783014112901,0.7908309455587392,0.7273395497311828,0.4944066882313449,0.7296726616796647,0.8028708837365591,0.8022922636103151,0.7120453209005376,0.4582336703212398,0.7267520531041232,RandomForestClassifier,1122.101636171341,0.09760808944702148,0.9742762824060219,0.9161290322580645,0.9024353447320602,0.29096361765289597,0.8948113642266478,0.7899025537634409,0.7729226361031518,0.724546370967742,0.5032462804007171,0.7177958162827374,0.800962386592742,0.8022922636103151,0.7223149781586021,0.4637121695346815,0.7333067537149169,KNNImputer,RandomForestClassifier,6190.860703229904,0.08978152275085449
5,hosp,class_full_,3/,0.19191329982190314,0.9516345648255053,0.8738351254480287,0.8473216526835186,0.3463222389628936,0.8414460236303675,0.7994686659946237,0.7621776504297995,0.7223569808467742,0.5182687250407136,0.7104595693427191,0.8032305317540321,0.7922636103151862,0.7231812836021505,0.476263317705893,0.7281369280896522,RandomForestClassifier,1763.4013328552246,0.08606576919555664,0.9546876721148604,0.882258064516129,0.8566967670847521,0.3402040171329133,0.8516376351037578,0.7954259072580645,0.7614613180515759,0.723580309139785,0.516697279927036,0.7106494434488927,0.8030362693212366,0.7994269340974212,0.731487315188172,0.4729858027467367,0.7370318941669088,KNNImputer,RandomForestClassifier,5636.04446387291,0.08749890327453613
6,rehab,class_full_,1/,0.1973150548653953,0.9354241649639654,0.857168458781362,0.8535528619758899,0.40641167639435727,0.8087788138796537,0.7447947687115346,0.6984240687679083,0.6581980841770896,0.5572281430204788,0.6209885499998388,0.7487219575143935,0.7371060171919771,0.6536877109390511,0.510614488117368,0.6377884061352252,ExtraTreesClassifier,1177.5483348369598,0.07250070571899414,0.9925939296531152,0.9451612903225807,0.9549247249318207,0.24738469217653797,0.9226976626940119,0.749205876513798,0.7213467048710601,0.6714314075838793,0.5180511617324619,0.6395544643503115,0.7612294024220766,0.7636103151862464,0.6817798292634505,0.48054253704431865,0.6676948112840073,SimpleImputer,LGBMClassifier,7731.974900007248,0.04637336730957031
7,rehab,class_full_,2/,0.18985428298809529,0.9597775206131123,0.8899641577060932,0.8925837095597122,0.3667430152041827,0.850234240131936,0.7515913490172722,0.6898280802292264,0.6855084871947588,0.5697006274553752,0.628551606407317,0.7590703791939647,0.7657593123209169,0.6705442227516378,0.48672356103732917,0.6621798330036477,RandomForestClassifier,1580.5916240215302,0.0897061824798584,0.9979320826218776,0.9507168458781362,0.9679024948685805,0.28757312188988593,0.9310707561719973,0.7526243299583085,0.7055873925501432,0.6828779531467144,0.555803476687089,0.636388064147129,0.7592658080206472,0.7578796561604585,0.6605246178280723,0.4849109574555904,0.6520079414949009,KNNImputer,RandomForestClassifier,4887.823204278946,0.0982205867767334
8,rehab,class_full_,3/,0.21284013474867153,0.9778260889839828,0.9019713261648745,0.9191056291341833,0.3519851934178161,0.8683142322543196,0.7466435874528489,0.6855300859598854,0.6815316656740122,0.573483137982951,0.6244476351030458,0.7576341324200914,0.7571633237822349,0.6890386142545166,0.5060130133860877,0.6681520832880463,LGBMClassifier,1924.4938054084778,0.05278730392456055,0.9946420285991633,0.924910394265233,0.9496975163230047,0.31368563183641884,0.8984837430573439,0.7507848173515982,0.6891117478510028,0.6812772979948383,0.5689206709752126,0.6263862577946168,0.7599885844748858,0.754297994269341,0.6733732876712328,0.4906454514615768,0.6579152482434175,KNNImputer,RandomForestClassifier,3527.502563714981,0.09888124465942383
9,los,class_full_,1/,0.1850240463537596,0.9956561120987019,0.9465949820788531,0.9642270421243544,0.3488147444645728,0.9265314042856416,0.7950509033311581,0.7922636103151862,0.6899231931079065,0.4925027917483139,0.6899231931079065,0.7906759435421857,0.7765042979942693,0.6872853497057319,0.498028523165237,0.6795036321037946,RandomForestClassifier,1152.3937728404999,0.1129295825958252,0.9472332255421911,0.8826164874551972,0.8643918413284761,0.38268848841175457,0.8372951526651717,0.7755259602393361,0.7571633237822349,0.690972509443847,0.5212320391926024,0.6708076219174994,0.795553349693477,0.7929799426934098,0.7100348342386559,0.48135878813572947,0.7021179510844485,SimpleImputer,ExtraTreesClassifier,4516.405827283859,0.07697343826293945
